Bates/Control #,End Bates/Control #,RFP: RFP 1,RFP: RFP 2,RFP: RFP 3,RFP: RFP 4,RFP: RFP 5,RFP: RFP 6,RFP: RFP 7,RFP: RFP 8,RFP: RFP 9,RFP: RFP 10,RFP: RFP 11,RFP: RFP 12
SYNLCPLD024-0002421,SYNLCPLD024-0002423,,,Yes,,,Yes,,,,,,
SYNLCPLD024-0002425,SYNLCPLD024-0002425,,,Yes,,,,Yes,,,,,
SYNLCPLD024-0002429,SYNLCPLD024-0002430,,,Yes,,,,,Yes,,,,
SYNLCPLD024-0002433,SYNLCPLD024-0002435,,,Yes,,,,,,Yes,,,
SYNLCPLD024-0002437,SYNLCPLD024-0002437,,,,Yes,,,,,,Yes,,
SYNLCPLD024-0002441,SYNLCPLD024-0002442,,,,Yes,,,,,,,Yes,
SYNLCPLD024-0002445,SYNLCPLD024-0002447,,,,Yes,,,,,,,,Yes
SYNLCPLD024-0002449,SYNLCPLD024-0002449,Yes,,,Yes,,,,,,,,
SYNLCPLD024-0002453,SYNLCPLD024-0002454,,Yes,,Yes,,,,,,,,
SYNLCPLD024-0002457,SYNLCPLD024-0002459,,,Yes,Yes,,,,,,,,
SYNLCPLD024-0002461,SYNLCPLD024-0002461,,,,Yes,,,,,,,,
SYNLCPLD024-0002465,SYNLCPLD024-0002466,,,,,Yes,,,,,,,
SYNLCPLD024-0002469,SYNLCPLD024-0002471,,,,,Yes,Yes,,,,,,
SYNLCPLD024-0002473,SYNLCPLD024-0002473,,,,,Yes,,Yes,,,,,
SYNLCPLD024-0002477,SYNLCPLD024-0002478,,,,,Yes,,,Yes,,,,
SYNLCPLD024-0002481,SYNLCPLD024-0002483,,,,,Yes,,,,Yes,,,
SYNLCPLD024-0002485,SYNLCPLD024-0002485,,,,,Yes,,,,,Yes,,
SYNLCPLD024-0002489,SYNLCPLD024-0002490,,,,,Yes,,,,,,Yes,
SYNLCPLD024-0002493,SYNLCPLD024-0002495,,,,,,Yes,,,,,,Yes
SYNLCPLD024-0002497,SYNLCPLD024-0002497,Yes,,,,,Yes,,,,,,
SYNLCPLD024-0002501,SYNLCPLD024-0002502,,Yes,,,,Yes,,,,,,
SYNLCPLD024-0002505,SYNLCPLD024-0002507,,,Yes,,,Yes,,,,,,
SYNLCPLD024-0002509,SYNLCPLD024-0002509,,,,Yes,,Yes,,,,,,
SYNLCPLD024-0002513,SYNLCPLD024-0002514,,,,,Yes,Yes,,,,,,
SYNLCPLD024-0002517,SYNLCPLD024-0002519,,,,,,Yes,,,,,,
SYNLCPLD024-0002521,SYNLCPLD024-0002521,,,,,,,Yes,,,,,
SYNLCPLD024-0002525,SYNLCPLD024-0002526,,,,,,,Yes,Yes,,,,
SYNLCPLD024-0002529,SYNLCPLD024-0002531,,,,,,,Yes,,Yes,,,
SYNLCPLD024-0002533,SYNLCPLD024-0002533,,,,,,,Yes,,,Yes,,
SYNLCPLD024-0002537,SYNLCPLD024-0002538,,,,,,,Yes,,,,Yes,
SYNLCPLD024-0002541,SYNLCPLD024-0002543,,,,,,,Yes,,,,,Yes
SYNLCPLD024-0002545,SYNLCPLD024-0002545,Yes,,,,,,Yes,,,,,
SYNLCPLD024-0002549,SYNLCPLD024-0002550,,Yes,,,,,,Yes,,,,
SYNLCPLD024-0002553,SYNLCPLD024-0002555,,,Yes,,,,,Yes,,,,
SYNLCPLD024-0002557,SYNLCPLD024-0002557,,,,Yes,,,,Yes,,,,
SYNLCPLD024-0002561,SYNLCPLD024-0002562,,,,,Yes,,,Yes,,,,
SYNLCPLD024-0002565,SYNLCPLD024-0002567,,,,,,Yes,,Yes,,,,
SYNLCPLD024-0002569,SYNLCPLD024-0002569,,,,,,,Yes,Yes,,,,
SYNLCPLD024-0002573,SYNLCPLD024-0002574,,,,,,,,Yes,,,,
SYNLCPLD024-0002577,SYNLCPLD024-0002579,,,,,,,,,Yes,,,
SYNLCPLD024-0002581,SYNLCPLD024-0002581,,,,,,,,,Yes,Yes,,
SYNLCPLD024-0002585,SYNLCPLD024-0002586,,,,,,,,,Yes,,Yes,
SYNLCPLD024-0002589,SYNLCPLD024-0002591,,,,,,,,,Yes,,,Yes
SYNLCPLD024-0002593,SYNLCPLD024-0002593,Yes,,,,,,,,Yes,,,
SYNLCPLD024-0002597,SYNLCPLD024-0002598,,Yes,,,,,,,Yes,,,
SYNLCPLD024-0002601,SYNLCPLD024-0002603,,,Yes,,,,,,Yes,,,
SYNLCPLD024-0002605,SYNLCPLD024-0002605,,,,Yes,,,,,,Yes,,
SYNLCPLD024-0002609,SYNLCPLD024-0002610,,,,,Yes,,,,,Yes,,
SYNLCPLD024-0002613,SYNLCPLD024-0002615,,,,,,Yes,,,,Yes,,
SYNLCPLD024-0002617,SYNLCPLD024-0002617,,,,,,,Yes,,,Yes,,
SYNLCPLD024-0002621,SYNLCPLD024-0002622,,,,,,,,Yes,,Yes,,
SYNLCPLD024-0002625,SYNLCPLD024-0002627,,,,,,,,,Yes,Yes,,
SYNLCPLD024-0002629,SYNLCPLD024-0002629,,,,,,,,,,Yes,,
SYNLCPLD024-0002633,SYNLCPLD024-0002634,,,,,,,,,,,Yes,
SYNLCPLD024-0002637,SYNLCPLD024-0002639,,,,,,,,,,,Yes,Yes
SYNLCPLD024-0002641,SYNLCPLD024-0002641,Yes,,,,,,,,,,Yes,
SYNLCPLD024-0002645,SYNLCPLD024-0002646,,Yes,,,,,,,,,Yes,
SYNLCPLD024-0002649,SYNLCPLD024-0002651,,,Yes,,,,,,,,Yes,
SYNLCPLD024-0002653,SYNLCPLD024-0002653,,,,Yes,,,,,,,Yes,
SYNLCPLD024-0002657,SYNLCPLD024-0002658,,,,,Yes,,,,,,Yes,
SYNLCPLD024-0002661,SYNLCPLD024-0002663,,,,,,Yes,,,,,,Yes
SYNLCPLD024-0002665,SYNLCPLD024-0002665,,,,,,,Yes,,,,,Yes
SYNLCPLD024-0002669,SYNLCPLD024-0002670,,,,,,,,Yes,,,,Yes
SYNLCPLD024-0002673,SYNLCPLD024-0002675,,,,,,,,,Yes,,,Yes
SYNLCPLD024-0002677,SYNLCPLD024-0002677,,,,,,,,,,Yes,,Yes
SYNLCPLD024-0002681,SYNLCPLD024-0002682,,,,,,,,,,,Yes,Yes
SYNLCPLD024-0002685,SYNLCPLD024-0002687,,,,,,,,,,,,Yes
SYNLCPLD024-0002689,SYNLCPLD024-0002689,Yes,,,,,,,,,,,
SYNLCPLD024-0002693,SYNLCPLD024-0002694,Yes,Yes,,,,,,,,,,
SYNLCPLD024-0002697,SYNLCPLD024-0002699,Yes,,Yes,,,,,,,,,
SYNLCPLD024-0002701,SYNLCPLD024-0002701,Yes,,,Yes,,,,,,,,
SYNLCPLD024-0002705,SYNLCPLD024-0002706,Yes,,,,Yes,,,,,,,
SYNLCPLD024-0002709,SYNLCPLD024-0002711,Yes,,,,,Yes,,,,,,
SYNLCPLD024-0002713,SYNLCPLD024-0002713,Yes,,,,,,Yes,,,,,
SYNLCPLD024-0002717,SYNLCPLD024-0002718,,Yes,,,,,,Yes,,,,
SYNLCPLD024-0002721,SYNLCPLD024-0002723,,Yes,,,,,,,Yes,,,
SYNLCPLD024-0002725,SYNLCPLD024-0002725,,Yes,,,,,,,,Yes,,
SYNLCPLD024-0002729,SYNLCPLD024-0002730,,Yes,,,,,,,,,Yes,
SYNLCPLD024-0002733,SYNLCPLD024-0002735,,Yes,,,,,,,,,,Yes
SYNLCPLD024-0002737,SYNLCPLD024-0002737,Yes,Yes,,,,,,,,,,
SYNLCPLD024-0002741,SYNLCPLD024-0002742,,Yes,,,,,,,,,,
SYNLCPLD024-0002745,SYNLCPLD024-0002747,,,Yes,,,,,,,,,
SYNLCPLD024-0002749,SYNLCPLD024-0002749,,,Yes,Yes,,,,,,,,
SYNLCPLD024-0002753,SYNLCPLD024-0002754,,,Yes,,Yes,,,,,,,
SYNLCPLD024-0002757,SYNLCPLD024-0002759,,,Yes,,,Yes,,,,,,
SYNLCPLD024-0002761,SYNLCPLD024-0002761,,,Yes,,,,Yes,,,,,
SYNLCPLD024-0002765,SYNLCPLD024-0002766,,,Yes,,,,,Yes,,,,
SYNLCPLD024-0002769,SYNLCPLD024-0002771,,,Yes,,,,,,Yes,,,
SYNLCPLD024-0002773,SYNLCPLD024-0002773,,,,Yes,,,,,,Yes,,
SYNLCPLD024-0002777,SYNLCPLD024-0002778,,,,Yes,,,,,,,Yes,
SYNLCPLD024-0002781,SYNLCPLD024-0002783,,,,Yes,,,,,,,,Yes
SYNLCPLD024-0002785,SYNLCPLD024-0002785,Yes,,,Yes,,,,,,,,
SYNLCPLD024-0002789,SYNLCPLD024-0002790,,Yes,,Yes,,,,,,,,
SYNLCPLD024-0002793,SYNLCPLD024-0002795,,,Yes,Yes,,,,,,,,
SYNLCPLD024-0002797,SYNLCPLD024-0002797,,,,Yes,,,,,,,,
SYNLCPLD024-0002801,SYNLCPLD024-0002802,,,,,Yes,,,,,,,
SYNLCPLD024-0002805,SYNLCPLD024-0002807,,,,,Yes,Yes,,,,,,
SYNLCPLD024-0002809,SYNLCPLD024-0002809,,,,,Yes,,Yes,,,,,
SYNLCPLD024-0002813,SYNLCPLD024-0002814,,,,,Yes,,,Yes,,,,
SYNLCPLD024-0002817,SYNLCPLD024-0002819,,,,,Yes,,,,Yes,,,
SYNLCPLD024-0002821,SYNLCPLD024-0002821,,,,,Yes,,,,,Yes,,
SYNLCPLD024-0002825,SYNLCPLD024-0002826,,,,,Yes,,,,,,Yes,
SYNLCPLD024-0002829,SYNLCPLD024-0002831,,,,,,Yes,,,,,,Yes
SYNLCPLD024-0002833,SYNLCPLD024-0002833,Yes,,,,,Yes,,,,,,
SYNLCPLD024-0002837,SYNLCPLD024-0002838,,Yes,,,,Yes,,,,,,
SYNLCPLD024-0002841,SYNLCPLD024-0002843,,,Yes,,,Yes,,,,,,
SYNLCPLD024-0002845,SYNLCPLD024-0002845,,,,Yes,,Yes,,,,,,
SYNLCPLD024-0002849,SYNLCPLD024-0002850,,,,,Yes,Yes,,,,,,
SYNLCPLD024-0002853,SYNLCPLD024-0002855,,,,,,Yes,,,,,,
SYNLCPLD024-0002857,SYNLCPLD024-0002857,,,,,,,Yes,,,,,
SYNLCPLD024-0002861,SYNLCPLD024-0002862,,,,,,,Yes,Yes,,,,
SYNLCPLD024-0002865,SYNLCPLD024-0002867,,,,,,,Yes,,Yes,,,
SYNLCPLD024-0002869,SYNLCPLD024-0002869,,,,,,,Yes,,,Yes,,
SYNLCPLD024-0002873,SYNLCPLD024-0002874,,,,,,,Yes,,,,Yes,
SYNLCPLD024-0002877,SYNLCPLD024-0002879,,,,,,,Yes,,,,,Yes
SYNLCPLD024-0002881,SYNLCPLD024-0002881,Yes,,,,,,Yes,,,,,
SYNLCPLD024-0002885,SYNLCPLD024-0002886,,Yes,,,,,,Yes,,,,
SYNLCPLD024-0002889,SYNLCPLD024-0002891,,,Yes,,,,,Yes,,,,
SYNLCPLD024-0002893,SYNLCPLD024-0002893,,,,Yes,,,,Yes,,,,
SYNLCPLD024-0002897,SYNLCPLD024-0002898,,,,,Yes,,,Yes,,,,
SYNLCPLD024-0002901,SYNLCPLD024-0002903,,,,,,Yes,,Yes,,,,
SYNLCPLD024-0002905,SYNLCPLD024-0002905,,,,,,,Yes,Yes,,,,
SYNLCPLD024-0002909,SYNLCPLD024-0002910,,,,,,,,Yes,,,,
SYNLCPLD024-0002913,SYNLCPLD024-0002915,,,,,,,,,Yes,,,
SYNLCPLD024-0002917,SYNLCPLD024-0002917,,,,,,,,,Yes,Yes,,
SYNLCPLD024-0002921,SYNLCPLD024-0002922,,,,,,,,,Yes,,Yes,
SYNLCPLD024-0002925,SYNLCPLD024-0002927,,,,,,,,,Yes,,,Yes
SYNLCPLD024-0002929,SYNLCPLD024-0002929,Yes,,,,,,,,Yes,,,
SYNLCPLD024-0002933,SYNLCPLD024-0002934,,Yes,,,,,,,Yes,,,
SYNLCPLD024-0002937,SYNLCPLD024-0002939,,,Yes,,,,,,Yes,,,
SYNLCPLD024-0002941,SYNLCPLD024-0002941,,,,Yes,,,,,,Yes,,
SYNLCPLD024-0002945,SYNLCPLD024-0002946,,,,,Yes,,,,,Yes,,
SYNLCPLD024-0002949,SYNLCPLD024-0002951,,,,,,Yes,,,,Yes,,
SYNLCPLD024-0002953,SYNLCPLD024-0002953,,,,,,,Yes,,,Yes,,
SYNLCPLD024-0002957,SYNLCPLD024-0002958,,,,,,,,Yes,,Yes,,
SYNLCPLD024-0002961,SYNLCPLD024-0002963,,,,,,,,,Yes,Yes,,
SYNLCPLD024-0002965,SYNLCPLD024-0002965,,,,,,,,,,Yes,,
SYNLCPLD024-0002969,SYNLCPLD024-0002970,,,,,,,,,,,Yes,
SYNLCPLD024-0002973,SYNLCPLD024-0002975,,,,,,,,,,,Yes,Yes
SYNLCPLD024-0002977,SYNLCPLD024-0002977,Yes,,,,,,,,,,Yes,
SYNLCPLD024-0002981,SYNLCPLD024-0002982,,Yes,,,,,,,,,Yes,
SYNLCPLD024-0002985,SYNLCPLD024-0002987,,,Yes,,,,,,,,Yes,
SYNLCPLD024-0002989,SYNLCPLD024-0002989,,,,Yes,,,,,,,Yes,
SYNLCPLD024-0002993,SYNLCPLD024-0002994,,,,,Yes,,,,,,Yes,
SYNLCPLD024-0002997,SYNLCPLD024-0002999,,,,,,Yes,,,,,,Yes
SYNLCPLD024-0003001,SYNLCPLD024-0003001,,,,,,,Yes,,,,,Yes
SYNLCPLD024-0003005,SYNLCPLD024-0003006,,,,,,,,Yes,,,,Yes
SYNLCPLD024-0003009,SYNLCPLD024-0003011,,,,,,,,,Yes,,,Yes
SYNLCPLD024-0003013,SYNLCPLD024-0003013,,,,,,,,,,Yes,,Yes
SYNLCPLD024-0003017,SYNLCPLD024-0003018,,,,,,,,,,,Yes,Yes
SYNLCPLD024-0003021,SYNLCPLD024-0003023,,,,,,,,,,,,Yes
SYNLCPLD024-0003025,SYNLCPLD024-0003025,Yes,,,,,,,,,,,
SYNLCPLD024-0003029,SYNLCPLD024-0003030,Yes,Yes,,,,,,,,,,
SYNLCPLD024-0003033,SYNLCPLD024-0003035,Yes,,Yes,,,,,,,,,
SYNLCPLD024-0003037,SYNLCPLD024-0003037,Yes,,,Yes,,,,,,,,
SYNLCPLD024-0003041,SYNLCPLD024-0003042,Yes,,,,Yes,,,,,,,
SYNLCPLD024-0003045,SYNLCPLD024-0003047,Yes,,,,,Yes,,,,,,
SYNLCPLD024-0003049,SYNLCPLD024-0003049,Yes,,,,,,Yes,,,,,
SYNLCPLD024-0003053,SYNLCPLD024-0003054,,Yes,,,,,,Yes,,,,
SYNLCPLD024-0003057,SYNLCPLD024-0003059,,Yes,,,,,,,Yes,,,
SYNLCPLD024-0003061,SYNLCPLD024-0003061,,Yes,,,,,,,,Yes,,
SYNLCPLD024-0003065,SYNLCPLD024-0003066,,Yes,,,,,,,,,Yes,
SYNLCPLD024-0003069,SYNLCPLD024-0003071,,Yes,,,,,,,,,,Yes
SYNLCPLD024-0003073,SYNLCPLD024-0003073,Yes,Yes,,,,,,,,,,
SYNLCPLD024-0003077,SYNLCPLD024-0003078,,Yes,,,,,,,,,,
SYNLCPLD024-0003081,SYNLCPLD024-0003083,,,Yes,,,,,,,,,
SYNLCPLD024-0003085,SYNLCPLD024-0003085,,,Yes,Yes,,,,,,,,
SYNLCPLD024-0003089,SYNLCPLD024-0003090,,,Yes,,Yes,,,,,,,
SYNLCPLD024-0003093,SYNLCPLD024-0003095,,,Yes,,,Yes,,,,,,
SYNLCPLD024-0003097,SYNLCPLD024-0003097,,,Yes,,,,Yes,,,,,
SYNLCPLD024-0003101,SYNLCPLD024-0003102,,,Yes,,,,,Yes,,,,
SYNLCPLD024-0003105,SYNLCPLD024-0003107,,,Yes,,,,,,Yes,,,
SYNLCPLD024-0003109,SYNLCPLD024-0003109,,,,Yes,,,,,,Yes,,
SYNLCPLD024-0003113,SYNLCPLD024-0003114,,,,Yes,,,,,,,Yes,
SYNLCPLD024-0003117,SYNLCPLD024-0003119,,,,Yes,,,,,,,,Yes
SYNLCPLD024-0003121,SYNLCPLD024-0003121,Yes,,,Yes,,,,,,,,
SYNLCPLD024-0003125,SYNLCPLD024-0003126,,Yes,,Yes,,,,,,,,
SYNLCPLD024-0003129,SYNLCPLD024-0003131,,,Yes,Yes,,,,,,,,
SYNLCPLD024-0003133,SYNLCPLD024-0003133,,,,Yes,,,,,,,,
SYNLCPLD024-0003137,SYNLCPLD024-0003138,,,,,Yes,,,,,,,
SYNLCPLD024-0003141,SYNLCPLD024-0003143,,,,,Yes,Yes,,,,,,
SYNLCPLD024-0003145,SYNLCPLD024-0003145,,,,,Yes,,Yes,,,,,
SYNLCPLD024-0003149,SYNLCPLD024-0003150,,,,,Yes,,,Yes,,,,
SYNLCPLD024-0003153,SYNLCPLD024-0003155,,,,,Yes,,,,Yes,,,
SYNLCPLD024-0003157,SYNLCPLD024-0003157,,,,,Yes,,,,,Yes,,
SYNLCPLD024-0003161,SYNLCPLD024-0003162,,,,,Yes,,,,,,Yes,
SYNLCPLD024-0003165,SYNLCPLD024-0003167,,,,,,Yes,,,,,,Yes
SYNLCPLD024-0003169,SYNLCPLD024-0003169,Yes,,,,,Yes,,,,,,
SYNLCPLD024-0003173,SYNLCPLD024-0003174,,Yes,,,,Yes,,,,,,
SYNLCPLD024-0003177,SYNLCPLD024-0003179,,,Yes,,,Yes,,,,,,
SYNLCPLD024-0003181,SYNLCPLD024-0003181,,,,Yes,,Yes,,,,,,
SYNLCPLD024-0003185,SYNLCPLD024-0003186,,,,,Yes,Yes,,,,,,
SYNLCPLD024-0003189,SYNLCPLD024-0003191,,,,,,Yes,,,,,,
SYNLCPLD024-0003193,SYNLCPLD024-0003193,,,,,,,Yes,,,,,
SYNLCPLD024-0003197,SYNLCPLD024-0003198,,,,,,,Yes,Yes,,,,
SYNLCPLD024-0003201,SYNLCPLD024-0003203,,,,,,,Yes,,Yes,,,
SYNLCPLD024-0003205,SYNLCPLD024-0003205,,,,,,,Yes,,,Yes,,
SYNLCPLD024-0003209,SYNLCPLD024-0003210,,,,,,,Yes,,,,Yes,
SYNLCPLD024-0003213,SYNLCPLD024-0003215,,,,,,,Yes,,,,,Yes
SYNLCPLD024-0003217,SYNLCPLD024-0003217,Yes,,,,,,Yes,,,,,
SYNLCPLD024-0003221,SYNLCPLD024-0003222,,Yes,,,,,,Yes,,,,
SYNLCPLD024-0003225,SYNLCPLD024-0003227,,,Yes,,,,,Yes,,,,
SYNLCPLD024-0003229,SYNLCPLD024-0003229,,,,Yes,,,,Yes,,,,
SYNLCPLD024-0003233,SYNLCPLD024-0003234,,,,,Yes,,,Yes,,,,
SYNLCPLD024-0003237,SYNLCPLD024-0003239,,,,,,Yes,,Yes,,,,
SYNLCPLD024-0003241,SYNLCPLD024-0003241,,,,,,,Yes,Yes,,,,
SYNLCPLD024-0003245,SYNLCPLD024-0003246,,,,,,,,Yes,,,,
SYNLCPLD024-0003249,SYNLCPLD024-0003251,,,,,,,,,Yes,,,
SYNLCPLD024-0003253,SYNLCPLD024-0003253,,,,,,,,,Yes,Yes,,
SYNLCPLD024-0003257,SYNLCPLD024-0003258,,,,,,,,,Yes,,Yes,
SYNLCPLD024-0003261,SYNLCPLD024-0003263,,,,,,,,,Yes,,,Yes
SYNLCPLD024-0003265,SYNLCPLD024-0003265,Yes,,,,,,,,Yes,,,
SYNLCPLD024-0003269,SYNLCPLD024-0003270,,Yes,,,,,,,Yes,,,
SYNLCPLD024-0003273,SYNLCPLD024-0003275,,,Yes,,,,,,Yes,,,
SYNLCPLD024-0003277,SYNLCPLD024-0003277,,,,Yes,,,,,,Yes,,
SYNLCPLD024-0003281,SYNLCPLD024-0003282,,,,,Yes,,,,,Yes,,
SYNLCPLD024-0003285,SYNLCPLD024-0003287,,,,,,Yes,,,,Yes,,
SYNLCPLD024-0003289,SYNLCPLD024-0003289,,,,,,,Yes,,,Yes,,
SYNLCPLD024-0003293,SYNLCPLD024-0003294,,,,,,,,Yes,,Yes,,
SYNLCPLD024-0003297,SYNLCPLD024-0003299,,,,,,,,,Yes,Yes,,
SYNLCPLD024-0003301,SYNLCPLD024-0003301,,,,,,,,,,Yes,,
SYNLCPLD024-0003305,SYNLCPLD024-0003306,,,,,,,,,,,Yes,
SYNLCPLD024-0003309,SYNLCPLD024-0003311,,,,,,,,,,,Yes,Yes
SYNLCPLD024-0003313,SYNLCPLD024-0003313,Yes,,,,,,,,,,Yes,
SYNLCPLD024-0003317,SYNLCPLD024-0003318,,Yes,,,,,,,,,Yes,
SYNLCPLD024-0003321,SYNLCPLD024-0003323,,,Yes,,,,,,,,Yes,
SYNLCPLD024-0003325,SYNLCPLD024-0003325,,,,Yes,,,,,,,Yes,
SYNLCPLD024-0003329,SYNLCPLD024-0003330,,,,,Yes,,,,,,Yes,
SYNLCPLD024-0003333,SYNLCPLD024-0003335,,,,,,Yes,,,,,,Yes
SYNLCPLD024-0003337,SYNLCPLD024-0003337,,,,,,,Yes,,,,,Yes
SYNLCPLD024-0003341,SYNLCPLD024-0003342,,,,,,,,Yes,,,,Yes
SYNLCPLD024-0003345,SYNLCPLD024-0003347,,,,,,,,,Yes,,,Yes
SYNLCPLD024-0003349,SYNLCPLD024-0003349,,,,,,,,,,Yes,,Yes
SYNLCPLD024-0003353,SYNLCPLD024-0003354,,,,,,,,,,,Yes,Yes
SYNLCPLD024-0003357,SYNLCPLD024-0003359,,,,,,,,,,,,Yes
SYNLCPLD024-0003361,SYNLCPLD024-0003361,Yes,,,,,,,,,,,
SYNLCPLD024-0003365,SYNLCPLD024-0003366,Yes,Yes,,,,,,,,,,
SYNLCPLD024-0003369,SYNLCPLD024-0003371,Yes,,Yes,,,,,,,,,
SYNLCPLD024-0003373,SYNLCPLD024-0003373,Yes,,,Yes,,,,,,,,
SYNLCPLD024-0003377,SYNLCPLD024-0003378,Yes,,,,Yes,,,,,,,
SYNLCPLD024-0003381,SYNLCPLD024-0003383,Yes,,,,,Yes,,,,,,
SYNLCPLD024-0003385,SYNLCPLD024-0003385,Yes,,,,,,Yes,,,,,
SYNLCPLD024-0003389,SYNLCPLD024-0003390,,Yes,,,,,,Yes,,,,
SYNLCPLD024-0003393,SYNLCPLD024-0003395,,Yes,,,,,,,Yes,,,
SYNLCPLD024-0003397,SYNLCPLD024-0003397,,Yes,,,,,,,,Yes,,
SYNLCPLD024-0003401,SYNLCPLD024-0003402,,Yes,,,,,,,,,Yes,
SYNLCPLD024-0003405,SYNLCPLD024-0003407,,Yes,,,,,,,,,,Yes
SYNLCPLD024-0003409,SYNLCPLD024-0003409,Yes,Yes,,,,,,,,,,
SYNLCPLD024-0003413,SYNLCPLD024-0003414,,Yes,,,,,,,,,,
SYNLCPLD024-0003417,SYNLCPLD024-0003419,,,Yes,,,,,,,,,
SYNLCPLD024-0003421,SYNLCPLD024-0003421,,,Yes,Yes,,,,,,,,
SYNLCPLD024-0003425,SYNLCPLD024-0003426,,,Yes,,Yes,,,,,,,
SYNLCPLD024-0003429,SYNLCPLD024-0003431,,,Yes,,,Yes,,,,,,
SYNLCPLD024-0003433,SYNLCPLD024-0003433,,,Yes,,,,Yes,,,,,
SYNLCPLD024-0003437,SYNLCPLD024-0003438,,,Yes,,,,,Yes,,,,
SYNLCPLD024-0003441,SYNLCPLD024-0003443,,,Yes,,,,,,Yes,,,
SYNLCPLD024-0003445,SYNLCPLD024-0003445,,,,Yes,,,,,,Yes,,
SYNLCPLD024-0003449,SYNLCPLD024-0003450,,,,Yes,,,,,,,Yes,
SYNLCPLD024-0003453,SYNLCPLD024-0003455,,,,Yes,,,,,,,,Yes
SYNLCPLD024-0003457,SYNLCPLD024-0003457,Yes,,,Yes,,,,,,,,
SYNLCPLD024-0003461,SYNLCPLD024-0003462,,Yes,,Yes,,,,,,,,
SYNLCPLD024-0003465,SYNLCPLD024-0003467,,,Yes,Yes,,,,,,,,
SYNLCPLD024-0003469,SYNLCPLD024-0003469,,,,Yes,,,,,,,,
SYNLCPLD024-0003473,SYNLCPLD024-0003474,,,,,Yes,,,,,,,
SYNLCPLD024-0003477,SYNLCPLD024-0003479,,,,,Yes,Yes,,,,,,
SYNLCPLD024-0003481,SYNLCPLD024-0003481,,,,,Yes,,Yes,,,,,
SYNLCPLD024-0003485,SYNLCPLD024-0003486,,,,,Yes,,,Yes,,,,
SYNLCPLD024-0003489,SYNLCPLD024-0003491,,,,,Yes,,,,Yes,,,
SYNLCPLD024-0003493,SYNLCPLD024-0003493,,,,,Yes,,,,,Yes,,
SYNLCPLD024-0003497,SYNLCPLD024-0003498,,,,,Yes,,,,,,Yes,
SYNLCPLD024-0003501,SYNLCPLD024-0003503,,,,,,Yes,,,,,,Yes
SYNLCPLD024-0003505,SYNLCPLD024-0003505,Yes,,,,,Yes,,,,,,
SYNLCPLD024-0003509,SYNLCPLD024-0003510,,Yes,,,,Yes,,,,,,
SYNLCPLD024-0003513,SYNLCPLD024-0003515,,,Yes,,,Yes,,,,,,
SYNLCPLD024-0003517,SYNLCPLD024-0003517,,,,Yes,,Yes,,,,,,
SYNLCPLD024-0003521,SYNLCPLD024-0003522,,,,,Yes,Yes,,,,,,
SYNLCPLD024-0003525,SYNLCPLD024-0003527,,,,,,Yes,,,,,,
SYNLCPLD024-0003529,SYNLCPLD024-0003529,,,,,,,Yes,,,,,
SYNLCPLD024-0003533,SYNLCPLD024-0003534,,,,,,,Yes,Yes,,,,
SYNLCPLD024-0003537,SYNLCPLD024-0003539,,,,,,,Yes,,Yes,,,
SYNLCPLD024-0003541,SYNLCPLD024-0003541,,,,,,,Yes,,,Yes,,
SYNLCPLD024-0003545,SYNLCPLD024-0003546,,,,,,,Yes,,,,Yes,
SYNLCPLD024-0003549,SYNLCPLD024-0003551,,,,,,,Yes,,,,,Yes
SYNLCPLD024-0003553,SYNLCPLD024-0003553,Yes,,,,,,Yes,,,,,
SYNLCPLD024-0003557,SYNLCPLD024-0003558,,Yes,,,,,,Yes,,,,
SYNLCPLD024-0003561,SYNLCPLD024-0003563,,,Yes,,,,,Yes,,,,
SYNLCPLD024-0003565,SYNLCPLD024-0003565,,,,Yes,,,,Yes,,,,
SYNLCPLD024-0003569,SYNLCPLD024-0003570,,,,,Yes,,,Yes,,,,
SYNLCPLD024-0003573,SYNLCPLD024-0003575,,,,,,Yes,,Yes,,,,
SYNLCPLD024-0003577,SYNLCPLD024-0003577,,,,,,,Yes,Yes,,,,
SYNLCPLD024-0003581,SYNLCPLD024-0003582,,,,,,,,Yes,,,,
SYNLCPLD024-0003585,SYNLCPLD024-0003587,,,,,,,,,Yes,,,
SYNLCPLD024-0003589,SYNLCPLD024-0003589,,,,,,,,,Yes,Yes,,
SYNLCPLD024-0003593,SYNLCPLD024-0003594,,,,,,,,,Yes,,Yes,
SYNLCPLD024-0003597,SYNLCPLD024-0003599,,,,,,,,,Yes,,,Yes
SYNLCPLD024-0003601,SYNLCPLD024-0003601,Yes,,,,,,,,Yes,,,
SYNLCPLD024-0003605,SYNLCPLD024-0003606,,Yes,,,,,,,Yes,,,
SYNLCPLD024-0003609,SYNLCPLD024-0003611,,,Yes,,,,,,Yes,,,
SYNLCPLD024-0003613,SYNLCPLD024-0003613,,,,Yes,,,,,,Yes,,
SYNLCPLD024-0003617,SYNLCPLD024-0003618,,,,,Yes,,,,,Yes,,
SYNLCPLD024-0003621,SYNLCPLD024-0003623,,,,,,Yes,,,,Yes,,
SYNLCPLD024-0003625,SYNLCPLD024-0003625,,,,,,,Yes,,,Yes,,
SYNLCPLD024-0003629,SYNLCPLD024-0003630,,,,,,,,Yes,,Yes,,
SYNLCPLD024-0003633,SYNLCPLD024-0003635,,,,,,,,,Yes,Yes,,
